Molecule ChEMBL ID,Smiles
CHEMBL380837,CC(C)(Oc1cccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)c1)C(=O)O
CHEMBL203793,CC[C@@](C)(Cc1ccc(OCCCOc2ccc3c(C(F)(F)F)cc(=O)oc3c2)cc1)C(=O)O
CHEMBL424674,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C(F)(F)F)cc2Cl)cc1)C(=O)O
CHEMBL383011,O=C(O)C(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C1CCC1
CHEMBL205777,CC[C@@](C)(Cc1ccc(OCCCOc2ccc3c(C(F)(F)F)cc(=O)oc3c2C)cc1)C(=O)O
CHEMBL206202,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(CC(F)(F)F)cc2Cl)cc1)C(=O)O
CHEMBL424674,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C(F)(F)F)cc2Cl)cc1)C(=O)O
CHEMBL238946,Cc1cnc(-c2cccc(Cl)c2)nc1N(C)CCCOc1ccc2c(c1)CC[C@H]2CC(=O)O
CHEMBL237086,Cc1cc(Oc2cccc(CNC(=O)c3ccc(Cl)cc3C)c2)ccc1OC(C)(C)C(=O)O
CHEMBL393940,Cc1cc(Oc2cccc(CNC(=O)c3ccccc3C)c2)ccc1OC(C)(C)C(=O)O
CHEMBL237485,Cc1cc(Oc2cccc(CNC(=O)c3cc4cc(Br)ccc4[nH]3)c2)ccc1CCC(=O)O
CHEMBL237484,Cc1cc(Oc2cccc(CNC(=O)c3cc4ccc(Cl)cc4[nH]3)c2)ccc1CCC(=O)O
CHEMBL603612,COc1cc(/C(C)=N/OCCCCO/N=C(/CCC(=O)O)c2ccccc2)ccc1C
CHEMBL489765,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccccc2)c1)C(=O)O
CHEMBL491627,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccccc2Cl)c1)C(=O)O
CHEMBL526740,CCO[C@@H](Cc1cccc(/C(C)=N/OCc2ccc(I)cc2)c1)C(=O)O
CHEMBL489766,CCO[C@@H](Cc1cccc(-c2cc(-c3ccccc3)on2)c1)C(=O)O
CHEMBL460278,CCn1nc(C(=O)NCc2ccc(OC(C)(C)C(=O)O)c(C)c2)cc1-c1ccc(C(C)(C)C)cc1
CHEMBL472399,Cc1cc(CNC(=O)c2cc(-c3ccc(-c4ccccc4C)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O
CHEMBL470322,Cc1cc(CNC(=O)c2cc(-c3ccc(N4CCOCC4)cc3)n(C)n2)ccc1OC(C)(C)C(=O)O
CHEMBL514007,Cc1oc(-c2ccccc2)nc1CCOc1ccc(Cc2nn(-c3ccccc3)cc2C(=O)O)cc1
CHEMBL474551,Cc1oc(-c2ccccc2)nc1CCOc1cccc(-c2nn(-c3ccccc3)nc2C(=O)O)c1
CHEMBL254946,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(NS(=O)(=O)C(C)C)cc1
CHEMBL427890,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(NS(=O)(=O)CC(F)(F)F)cc1
CHEMBL199928,CCC(C(=O)O)C1CCc2cc(OCCc3nc(-c4cccc(C)c4)oc3C)ccc21
CHEMBL199449,CCC(C(=O)O)C1CCc2cc(OCCc3nc(COc4ccccc4)oc3C)ccc21
CHEMBL200207,CCC(C(=O)O)C1CCc2cc(OCCc3nc(-c4cc(C)on4)oc3C)ccc21
